,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent,close_date,symbol,trade_type,num_contracts,contract_multiplier,quantity
50,SOLUSDT Perpetual,Isolated,Long 10.00x,2023-12-24 00:32:01,111.83,199.94,91 Contracts,"12/24/2023, 02:12:08",114.15,+19.64%,2023-12-24 02:12:08,SOLUSDT,open_long,91,1.0,91.0
51,SOLUSDT Perpetual,Isolated,Long 10.00x,2023-12-24 00:32:00,111.71,361.54,155 Contracts,"12/24/2023, 02:12:08",114.16,+20.88%,2023-12-24 02:12:08,SOLUSDT,open_long,155,1.0,155.0
52,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:49:32,42840.0,1248.79,98 Contracts,"12/20/2023, 08:31:10",44131.8,+29.74%,2023-12-20 08:31:10,BTCUSDT,open_long,98,0.01,0.98
53,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:47:58,42851.4,1211.72,95 Contracts,"12/20/2023, 08:31:07",44153.0,+29.76%,2023-12-20 08:31:07,BTCUSDT,open_long,95,0.01,0.9500000000000001
54,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:48:00,42862.3,976.15,77 Contracts,"12/20/2023, 08:30:29",44156.2,+29.57%,2023-12-20 08:30:29,BTCUSDT,open_long,77,0.01,0.77
55,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:11,42391.7,-55.54,29 Contracts,"12/19/2023, 11:05:30",42225.6,-3.92%,2023-12-19 11:05:30,BTCUSDT,open_long,29,0.01,0.29
56,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:08,42365.9,-114.2,69 Contracts,"12/19/2023, 11:05:30",42225.8,-3.31%,2023-12-19 11:05:30,BTCUSDT,open_long,69,0.01,0.6900000000000001
57,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:06,42370.5,-118.8,70 Contracts,"12/19/2023, 11:05:30",42226.1,-3.41%,2023-12-19 11:05:30,BTCUSDT,open_long,70,0.01,0.7000000000000001
58,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:05,42353.5,-176.84,117 Contracts,"12/19/2023, 11:05:30",42227.7,-2.97%,2023-12-19 11:05:30,BTCUSDT,open_long,117,0.01,1.17
59,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:02,42296.1,-138.36,148 Contracts,"12/19/2023, 11:05:30",42227.9,-1.62%,2023-12-19 11:05:30,BTCUSDT,open_long,148,0.01,1.48
60,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-19 09:03:00,42293.6,-154.05,171 Contracts,"12/19/2023, 11:05:30",42228.9,-1.54%,2023-12-19 11:05:30,BTCUSDT,open_long,171,0.01,1.71
61,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:12:32,43184.6,-4.98,4 Contracts,"12/18/2023, 20:23:35",43086.2,-2.88%,2023-12-18 20:23:35,BTCUSDT,open_long,4,0.01,0.04
62,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:09:13,43180.2,-57.55,48 Contracts,"12/18/2023, 20:23:35",43086.2,-2.78%,2023-12-18 20:23:35,BTCUSDT,open_long,48,0.01,0.48
63,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:09:12,43170.1,-80.14,73 Contracts,"12/18/2023, 20:23:35",43086.2,-2.55%,2023-12-18 20:23:35,BTCUSDT,open_long,73,0.01,0.73
64,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:09:10,43166.1,-82.51,78 Contracts,"12/18/2023, 20:23:35",43086.2,-2.46%,2023-12-18 20:23:35,BTCUSDT,open_long,78,0.01,0.78
65,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:09:09,43161.0,-186.85,203 Contracts,"12/18/2023, 20:23:35",43086.2,-2.14%,2023-12-18 20:23:35,BTCUSDT,open_long,203,0.01,2.0300000000000002
66,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-18 20:09:09,43160.0,-182.09,200 Contracts,"12/18/2023, 20:23:35",43086.2,-2.11%,2023-12-18 20:23:35,BTCUSDT,open_long,200,0.01,2.0
67,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-14 04:36:26,55.586,85.72,157 Contracts,"12/14/2023, 07:04:15",61.104,+49.11%,2023-12-14 07:04:15,ORDIUSDT,open_long,157,0.1,15.700000000000001
68,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-14 04:29:05,55.832,101.18,194 Contracts,"12/14/2023, 07:04:15",61.106,+46.70%,2023-12-14 07:04:15,ORDIUSDT,open_long,194,0.1,19.400000000000002
69,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-14 04:16:36,55.549,272.31,495 Contracts,"12/14/2023, 07:04:15",61.108,+49.51%,2023-12-14 07:04:15,ORDIUSDT,open_long,495,0.1,49.5
70,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-14 04:16:32,55.438,164.48,293 Contracts,"12/14/2023, 07:04:15",61.111,+50.63%,2023-12-14 07:04:15,ORDIUSDT,open_long,293,0.1,29.3
71,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-14 04:10:38,55.888,445.47,862 Contracts,"12/14/2023, 07:04:15",61.114,+46.23%,2023-12-14 07:04:15,ORDIUSDT,open_long,862,0.1,86.2
72,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-14 04:10:36,55.803,1010.84,"1,923 Contracts","12/14/2023, 07:04:15",61.118,+47.09%,2023-12-14 07:04:15,ORDIUSDT,open_long,1923,0.1,192.3
73,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-14 04:10:29,55.555,2146.22,"3,879 Contracts","12/14/2023, 07:04:15",61.129,+49.79%,2023-12-14 07:04:15,ORDIUSDT,open_long,3879,0.1,387.90000000000003
74,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-10 20:12:55,41125.7,1710.67,274 Contracts,"12/10/2023, 20:15:15",41791.5,+15.18%,2023-12-10 20:15:15,BTCUSDT,open_long,274,0.01,2.74
75,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-10 20:12:22,42176.3,-421.47,99 Contracts,"12/10/2023, 20:15:15",41792.5,-10.10%,2023-12-10 20:15:15,BTCUSDT,open_long,99,0.01,0.99
76,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-10 20:07:28,42490.3,-1205.07,163 Contracts,"12/10/2023, 20:15:15",41793.2,-17.40%,2023-12-10 20:15:15,BTCUSDT,open_long,163,0.01,1.6300000000000001
77,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-10 20:07:26,42448.6,-1561.66,224 Contracts,"12/10/2023, 20:15:15",41793.5,-16.43%,2023-12-10 20:15:15,BTCUSDT,open_long,224,0.01,2.24
78,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-05 22:45:26,43611.6,273.19,50 Contracts,"12/06/2023, 08:18:29",44201.9,+12.52%,2023-12-06 08:18:29,BTCUSDT,open_long,50,0.01,0.5
79,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-05 22:43:48,43620.0,275.53,50 Contracts,"12/06/2023, 08:18:29",44201.9,+12.63%,2023-12-06 08:18:29,BTCUSDT,open_long,50,0.01,0.5
80,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-04 09:33:49,41320.1,340.68,12 Contracts,"12/06/2023, 08:18:29",44201.9,+68.70%,2023-12-06 08:18:29,BTCUSDT,open_long,12,0.01,0.12
81,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-04 05:22:05,41486.5,1469.9,55 Contracts,"12/06/2023, 08:18:29",44201.9,+64.41%,2023-12-06 08:18:29,BTCUSDT,open_long,55,0.01,0.55
82,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-04 05:22:01,41442.8,2933.57,108 Contracts,"12/06/2023, 08:18:29",44201.9,+65.54%,2023-12-06 08:18:29,BTCUSDT,open_long,108,0.01,1.08
83,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-04 05:15:08,41505.6,3820.96,144 Contracts,"12/06/2023, 08:18:29",44201.9,+63.92%,2023-12-06 08:18:29,BTCUSDT,open_long,144,0.01,1.44
84,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-11-30 19:29:50,37870.1,14405.83,229 Contracts,"12/06/2023, 08:18:29",44201.9,+166.11%,2023-12-06 08:18:29,BTCUSDT,open_long,229,0.01,2.29
85,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-11-30 19:29:53,37881.4,9397.41,152 Contracts,"12/06/2023, 07:45:30",44104.9,+163.20%,2023-12-06 07:45:30,BTCUSDT,open_long,152,0.01,1.52
86,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-11-30 19:29:55,37889.7,7573.33,209 Contracts,"12/04/2023, 00:01:54",41553.0,+95.63%,2023-12-04 00:01:54,BTCUSDT,open_long,209,0.01,2.09
87,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-01 06:24:51,38479.3,1454.59,52 Contracts,"12/03/2023, 23:12:59",41316.5,+72.69%,2023-12-03 23:12:59,BTCUSDT,open_long,52,0.01,0.52
